suburb,incident_date,injuries,offender,victim
Ocean Grove,2012-05-26,broken skin,Unknown,personbitten 
St Leonards,2012-05-27,Taken to vet,Unknown,dog
Lara,2012-05-23,Dead,Unknown,sheep
East Geelong,2012-05-21,broken skin,Staffy,dog
East Geelong,2012-06-01,broken skin,Unknown,personbitten 
Corio,2012-06-03,Dead,American Staffy/English Staffy,dog
Wallington,2012-06-12,Dead,Unknown,sheep
Bell Post Hill,2012-06-18,person had skin graft,Boxer,dog/person
Ocean Grove,2012-06-26,Dead,Bedlington,chickens
Leopold,2012-06-27,None,German Shepherd,Dog
Lara,2012-06-16,Unknown,Unknown,Unknown
Highton,2012-06-12,broken skin,Mini/Doberman,personbitten 
Clifton Springs,2012-06-12,None,Kelpie X,Dog
Belmont,2012-06-19,broken skin,Fox Terrier X,Person 
Highton,2012-07-31,,GreyhoundBull Dog,Dog
Corio,,Death,Red Heeler,Cat
Corio,2012-07-19,Death,,Dog
Hamlyn Heights,2012-07-14,Death,Unsure,Budgies
Waurn Ponds,2012-07-11,,Spoodle,Dog
Grovedale,2012-07-25,Missing Feathers,Staghound/CrossBull Arab Cross,Chicken
Ocean Grove,2012-08-24,Death,,Swan
Barwon Heads,2012-08-25,Death,Ridgeback/Bull Mastiff,Chicken
Newcomb,2012-08-17,Broken Skin,Lab?,Person
Belmont,2012-08-03,Broken Skin,Kelpie,Person
Grovedale,2012-08-01,Stitches Required,Lab,Dog
Clifton Springs,2012-08-22,Severe Tearing,Border CollieBull Mastiff/Cross,Dog
Norlane,2012-08-02,,Staffordshire/Bull Terrier,Dog
Bell Post Hill,2012-08-15,,Kelpie/Cross,Dog
Bell Post Hill,2012-08-19,Puncture Marks,Staffordshire/Bull Terrier,Dog
Clifton Springs,,PunctureMarks,Siberian Husky,Dog
Corio,2012-07-30,Puncture Marks,Blue Heeler/Kelpie,Person
Indented heads,2012-08-30,Puncture Marks,Koolie,Person
Leopold,2012-09-12,Death,Unsure,Chickens
Ceres,2012-09-06,Death,Unsure,Sheep
Clifton Springs,2012-09-04,Broken Skin,Unsure,Dog
Corio,2012-09-03,Broken Skin,                                                                                                                ,Person
Drysdale,2012-09-03,Bruised,Border Collie,Dog
East Geelong,2012-08-28,,Unsure,Person
Highton,2012-09-15,,German Shepherd,Person
Clifton Springs,2012-09-01,Broken Skin,Schnauzer,Dog
Belmont,2012-09-09,Death,German Shepherd,Dog
Highton,2012-09-06,Puncher Wound,,Person
Norlane,2012-09-02,Puncher Wound,Red Heeler,Dog
,,,,
Indented Head,2012-09-09,Death,Curly Haired/Retriever,Chicken
St Leonards,2012-09-23,Bite,Lhasa Apso,Person
Belmont,2012-09-09,Death,,Dog
Newtown,2012-09-24,,Staffy,Dog
Anakie,2012-10-08,Bruising,Alsation,Person
Corio,2012-10-02,,Border Collie,Dog
Lara,2012-10-06,Bite,Staffy,Person
Geelong West,2012-10-05,Bite,,Person
Geelong  ,2012-10-04,Bite,Bull/Staffy,Person
Barwon Heads,2012-10-04,Severe Tearing,German Shephard X,Dog
Belmont,2012-10-24,,American Bulldogs,Cat
Lovely Banks,2012-10-25,Death,,Sheep
Hamlyn Heights,,Death,Greyhounds,Cat
Belmont,2012-10-11,,Staffy's,Dog
Grovedale,2012-11-03,Puncture,Staffy X,Person
Newcomb,2012-10-31,Death,Malamute,Chickens
St Albans Park,2012-11-12,Puncture,Staffy and a Rotty,Dog
Highton,2012-11-19,Muscle ,Staffys,Dog
Leopold,2012-11-16,Puncture,German Shepherd,Dog
Highton,,,bull Terrier/ Pit Bull,Dog
Lovely Banks,2012-11-18,Gashes,Rotty,Person
Manifold Heights,2012-11-28,,Blue Heeler,Dog
Clifton Springs,2012-11-26,Bite,Kelpie X andGerman Shephard X,Dog
Geelong West,2012-11-19,Puncture,Bull Dog,Person
Norlane,2012-11-11,,Bull Terrier,Person
Ocean Grove,2012-12-27,Graze,Jack Russel,Person
Corio,2012-12-21,,Pitbulls,
Geelong,2012-11-26,,Bitza,Dog
,2012-12-18,Ripped Skin,Jack Russel,Alpaca
Norlane,2012-12-23,Bitten Lip,Small Dog,Child
Indented Head,2012-12-09,SevereTearing,Bull Dog,Dog
Bell Park,2011-01-01,Brocken Skin,Shih Tzu,Person
Lara,2011-01-02,Death,Unknown,Foal
Wallington,2011-04-11,Death,Labradors,Chickens
East Geelong,2011-01-13,Unknown,Ridgeback                                                                                                                                                                                                                                  Cross,Person
Geelong,2011-01-19,Death,Cavalier KC Spaniel,Chickens
Whittington,2011-01-20,Unknown,Unknown,Dog
Bell Park,2011-01-19,Severe tearing,Pitbull,Dog
Grovedale,2011-01-21,Nil,Mastiff,Dog
Norlane,2011-01-23,Death,Bull Mastiff,Chickens
Leopold,2011-01-24,Death,Staffies,Cat
Corio,2011-01-24,Death (PTS),Husky,Cat
Whittington,2011-01-20,Unknown,Unknown,Dog
Belmont,2011-02-04,Unknown,Jack Russel,Dog
St Albans Park,2011-02-09,Death                                                                                                                                                                                                                                                                 (PTS),Staffy,Cat
Grovedale,2011-02-03,Bruising,Bull Mastif,Dog
Corio,2011-02-11,Bruising,Kangal,Dog
Unknown,2011-02-07,Puncture wound,labrador,Person
Norlane,2011-02-26,Puncture wounds,Rotti,Person
Grovedale,2011-02-22,Puncture wounds,Weimaraner,Person
Lovely Banks,2011-02-18,Unknown,Wirehaired Terrier/Pointer,Dog
Corio,2011-02-17,Unknown,Terrier,Person
Drysdale,2011-02-07,Puncture                                                                                                                                                                                                                             wounds,labrador,Person
Whittington,2011-03-28,Death,Staffordshire   American Bull Dog,Dog
Corio,2011-03-24,1 x Dead                                                                                                                                                                                                                                                1 x serious                                                                                                                                                                                                                        wounds,Staffordshire   ,Dogs
Ocean Grove,2011-03-22,1 x cat dead                                                                                                                                                                                                                                                               1 x person                                                                                                                                                                                                                                       with                                                                                                                                                                                                                                  puncture                                                                                                                                                                                                                            wounds,Greyhound,DogPerson
Corio,2011-03-19,Serious wounds,Unknown,Cat
Whittington,2011-03-11,Puncture wounds,Doberman/Rottweller,Dog
Norlane,2011-03-08,Unknown,Ridgeback/MastiffEnglish Bull Terrier,Dog
Corio,2011-03-04,Death,Malimute,Cat
Newtown,2011-03-09,Puncture wounds, Jack Russel,Dog
Moolap,2011-03-20,Bruising,Unknown,DogPerson
Geelong,2011-03-29,Unknown,Rottweiler,Dogs
Belmont,2011-03-08,Puncture wounds,Heelers,Person
Curlewis,28/03/2011 30/03/2011,Unknown,Newfoundland,Person
Newcomb,2011-03-31,Dead,Pug & Boxer,Chickens and Duck
Newcomb,2011-04-01,Unknown,Staffy,Dog
Waurn Ponds,2011-04-05,,KelpieStaffy,Sheep
Grovedale,2011-04-29,Unknown,U/K,U/K
Lovely Banks,2011-05-03,,German Shepherds,Dog
Whittington,2011-05-09,,Cockerspaniel,Person
Norlane,2011-05-18,,Boxer,Dog
Belmont,2011-05-19,,Bull Terriers,Dog
Corio,2011-05-02,,Blue HeelerLabx,Person
Highton,2011-05-01,,Bull Mastiff,Dog
Belmont,2011-05-18,,,Person
Manifold Heights,2011-05-29,,Heeler/Cross,Person
Moolap,2011-05-28,,Maremma Sheepdog,Person
Ocean Grove,2011-05-10,,Labrador/BoxerPomeranian/Cross,Person
Belmont,2011-05-02,,,Person
Belmont,2011-05-20,,Labrador,Dog
Corio,2011-06-18,U/K,Bull Mastiff/Cross,Dog
Belmont,2011-06-21,U/K,Staffordshire,Dog
Bell Park,2011-06-12,U/K,Doberman Staffy,DogPerson
Ocean Grove,2011-06-28,U/K,Akita/Cross,Dog
Clifton Springs,2011-06-18,U/K,Staffordshire,Dog
Ocean Grove,2011-06-18,U/K,German S/H Pointer,Person
Whittington,2011-06-19,U/K,Bulldog,Dog
Portarlington,2011-07-18,,Unknown,Person
Lara,2011-07-25,,Rottweiler,Dog
Moolap,2011-12-07,,Akita,Dog
Moolap,2011-07-26,,Unknown,Sheep
Newtown,2011-07-14,,Staffy,Dog
Lara,2011-07-05,,Unknown,Dog
Belmont,2011-07-08,,Staffordshire/Bull Terrier,Dog
Belmont,2011-07-06,,Jack Russell,Dog
Corio,2011-08-15,,Staffordshire's,Dog
Corio,2015-05-21,,Bull Mastiff/Cross,Dog
Portarlington,2011-08-07,,,Dog
South Geelong,2011-08-08,,Staffy,Person
Norlane,2011-08-10,,,Person
Wallington,2011-08-18,,Border Collies,Sheep
Norlane,2011-08-02,,,Dog
Hamlyn Heights,2011-08-22,,Staffy,Dog
North Geelong,2011-08-24,,Jack Russel,Person
Ocean Grove,2011-09-01,,Poodle,Dog
East Geelong,2011-09-02,,Shar Pei,Person
North Geelong,2011-09-02,,Unknown,Dog
Clifton Springs,,,Unknown,Person
Bell Park,2011-09-05,,Labrador,Dog
Belmont,2011-09-07,,2 x Pitbulls??,Dog
Corio,2011-09-12,,2 x Blue Heelers 1x Maltese,Person
East Geelong,2011-09-14,,Maltese/Cross,Person
Barwon Heads,2011-09-16,,3 x Springer Spaniel,Person
Corio,2011-09-21,,Staffordshire/ Boxer,Dog
Lovely Banks,2011-09-25,,Staffordshire cross,Person
Belmont,2011-07-02,,Kelpie/Cross,Person
Anakie,2015-05-21,,Greyhound,Horse
Moolap,2011-10-02,,unknown,Dog
Whittington,2011-10-03,,Maltese Shih-Tzu,Person
Highton,2011-10-03,,Kelpie/Cross,Person
Balliang,2011-10-10,,German Shepherd,Dog
Norlane,2011-10-16,,Blue Heeler,Person
East Geelong,2011-10-20,,Staffy Cross,Person
Bell Post Hill,2011-10-26,,German Shepherd,Person
Belmont,2011-10-28,,Rottweiler,Dog
East Geelong,2011-10-10,,Kelpie/Heeler,Cat
Hamlyn Heights,2011-10-29,,BoxerBoxer x,Dog
North Geelong,2011-10-20,,,Person
Corio,2011-10-23,,2 x one tan & 1 black Pitbull or Staffys,Person
Grovedale,2011-11-25,Nil,bull arab                                                                                                                                                                                                      bull arab x,Dog
Grovedale,2011-11-25,Death,Pitbull x Boxer,Cat
Geelong West,2011-11-15,Puncture                                                                                                                                                                                                                                  wounds,Huskys,Dog
Rippleside,2011-11-09,U/K,Staffy,Dog
Whittington,2011-11-03,Surgery,U/K,Dog
Portarlington,2011-11-11,U/K,Pitbulls,Dog
St Leonards,2011-11-04,Puncture                                                                                                                                                                                                                                  wounds,Staffy's,Person
Newtown,2011-11-20,,Australian Bull Dog,Dog
Corio,2011-11-16,,U/K,Dog
Norlane,2011-11-04,,U/K,Dog
Corio,2011-11-03,,Staffordshire/Mastiff,Person
Lovely Banks,2011-10-31,,U/K,Person
Leopold,2011-11-29,,Staffy,Dog
Belmont,2011-12-11,Scratches,German Shepherd,18 month old baby
Belmont,2011-12-17,Death,Staffy/Bulldog?,Dog
Ocean Grove,2011-12-20,Both dead,Kelpie/Husky,2 x Chickens
Norlane,2011-12-20,Dead,Staffy x bull terriers,Dog
Belmont,2011-12-22,Punture                                                                                                                                                                                                                                     wounds/No injuries?,German                                                                                                                                                                                                                              Shepherd,Dog
Highton,2011-12-22,Death,Staffy ,Cat
Geelong West,2011-12-27,Lacerations,Staffy ,Dog
Hamlyn Heights,2011-12-29,Person & Dog                                                                                                                                                                                                                                      - Minor,1 x Staffy                                                                                                                                                                                                                                                  1 x Boxer pup,Person                                                                                                                                                                                                                                     Dog
Indented Head,2010-01-01,,u/k,Person
Whittington,2010-01-06,,Staffordshire/CrossKelpie/Cross,Dog
Leopold,2010-01-08,,Staffy,Dog
Ocean Grove,2010-01-11,,Malamut,Lamb
Corio,2146-09-16,,Pit Bull x,Cat
Highton,2010-01-14,,Husky,Rabbits
Clifton Springs,2010-01-15,,Pitbull X / Jack Russell,Dog
Lara,2010-01-20,,Cattledog,Person
Grovedale,Not Advised,,Staffy X / Pitbull,Dog
Newtown,2010-01-20,,Rottweiler,Dog
Belmont,2010-01-22,,Staffy,Dog
Newcomb,2010-01-25,,Staffy,Person
Corio,2010-01-29,,Jack Russell,Person
St Leonards,2010-01-23,,Border Collie/Blue Heeler,Person
St Leonards,2010-01-23,,,Person
Little River,2010-02-01,,Mastiff,Person 
Highton,2010-01-31,,Heeler,Person 
Corio,2010-02-05,,Boxer / Pitbull,Dog
Corio,2010-02-05,,Staffy / Also unknown breed,Person 
Norlane,2010-02-11,,Bull Mastiff,Cat
Geelong West,2009-02-08,,Husky,Dog
Grovedale,2002-02-12,,Unknown,Person 
Whittington,2009-02-14,,Terrier,Dog
Belmont,2010-02-02,,Rotti X,Dog
Lara,2010-02-15,,Poodle X,Person 
Newtown,2010-02-16,,Staffy x,Dog
Avalon,2010-02-21,,Unknown,Livestock
Grovedale,2010-02-22,,Pitbull,Dog
Whittington,2010-02-22,,3 x German Shepherds,Dog
Norlane,2010-02-28,,Kelpie,Person 
Corio,2010-02-28,,Staff / Pit bulls,Dog
Clifton Springs,2010-02-16,,Unknown,Person 
Norlane,2010-03-02,,Alsatian,Rabbit
St Albans Park,2010-02-25,,Staffy,Person 
Herne Hill,2010-03-02,,Jack Russell,Dog
Ocean Grove,2010-03-07,,Staghound X,Sheep
Norlane,2010-03-12,,Pitbulls,Dog
Ocean Grove,2010-03-06,,u/k,Chickens
Norlane,2003-03-18,,Bull Terrier,Dog
Corio,2010-03-24,,Lab,Dog
St Albans Park,2010-03-26,,Staffy and unknown breed,Livestock
Clifton Springs,2010-03-20,,Heeler x Shepherd,Dog
Norlane,2010-03-01,,Unknown,Person
Portarlington,2010-04-01,,Unknown,Dogs
East Geelong,2010-04-03,,Maltese,Person
Whittington,2010-04-06,,Bull Terrier,Dogs
Belmont,2010-04-05,,Bull Mastiff,Dog / Person
Connewarre,2010-04-06,,Pit Bull x,Dog
Ocean Grove,2010-04-07,,German Shepherd,Person
Ocean Grove,2010-04-08,,Akita,Cat
Norlane,2010-04-10,,Staffy's,Dog
,2010-04-12,,Cavalier King Charles Spaniel,Person
Lara,2010-04-12,,Rotti Lab Staffy,Livestock
Belmont,2010-04-16,,Husky  Bull Terrier,Chicken
Herne Hill,2010-04-16,,Staffordshire,Dog
Whittington,2010-04-16,,Bull Terrier,Person
Corio,2010-04-19,,Staffordshire,Cat
Hamlyn Heights,2010-04-19,,Boxers,Dog
Bremlea Beach,2010-04-19,,Bull Terrier,Dog
Norlane,2010-04-21,,Great DaneAmerican Staffordshire,Cat
Drysdale,2010-04-27,,Unknown,Livestock
Manifold Heights,2010-04-30,,Boxer X,Dog
Belmont,u/k,,Jack Russell/Cross,Dog
Breamlea,2010-04-18,,Bulldog X,Dog
Norlane,2010-04-24,,Unknown,Cat
Whittington,2010-05-01,,Blue Heeler,Person / Dog
Wallington,2010-05-02,,Border Collie,Person
Corio,2010-05-01,,Blue Heeler,Dog
Leopold,2010-05-04,,Jack Russell x,Person
Grovedale,2010-05-07,,Blue Heeler,Person
St Albans Park,2010-05-13,,Staff/Bull Terrier,Dog
Belmont,2010-05-14,,Pitt Bull x,Dog
Corio,2010-05-19,,Kelpie,Dog
North Geelong,2010-05-21,,2 Bulldogs,Person
Corio,2010-05-22,,Unknown,Dog
Barwon Heads,2010-05-22,,2 Staffies,Dog
Lara,2010-05-24,,1 Staffy & 1 Jack Russell,Dog
Belmont,2010-05-24,,1 Mastiff & 1 Boxer,Dog
Norlane,2010-05-24,,Rottweiler,Person
Geelong West,2010-05-12,,Unknown,Rabbits
Belmont,2010-05-15,,Husky,Rabbits
Manifold Heights,2010-04-30,,Boxer x,Dog
Corio,2010-05-13,,Staffy x,Cat
Norlane,2010-05-09,,German Shepherd,Person
St Albans Park,2010-05-13,,Staffordshire/Bull Terrier,Dog
Geelong West,2010-05-19,,2 Staffies,Person
Newcomb,2010-06-04,,Staffy x,Cat
Batesford,2010-06-08,,2 Labradors,2 Ducks
Corio,2010-06-09,,2 Staffys,Dog
Bell Park,2010-06-09,,Husky,Cat
Lara,2010-06-09,,Blue Heeler,Person
Leopold,2010-06-13,,Pitt Bull Terrier,Dog
Belmont,2010-06-13,,Bull Terrier,Dog
Whittington,2010-06-20,,2 Pitt Bulls,Dog
Lara,2010-06-20,,Unknown,Sheep
Herne Hill,2010-06-22,,Unknown,Dog
Manifold Heights,2010-06-23,,Mastiff x,Dog
Newcomb,2010-06-28,,Staffy  ,Person
Newcomb,2010-06-28,,Unknown,Person
Grovedale,2010-06-11,,Maltese/Shihtzu,Person
Manifold Heights,2010-05-23,,Unknown,Dog
Marshall,2010-06-26,,Staffys,Sheep
Whittington,2010-07-09,,Pit Bull ,Person
Portarlington,2010-07-05,,Pit Bull ,Sheep
Ocean Grove,2010-07-12,,Siberian Husky,Chickens
Waurn Ponds,2010-07-18,,Chow Chow X,Sheep
Marshall,2010-07-05,,Kelpie,Person
Lara,2010-07-08,,Jack Russells,Lamb 
Anakie,2010-07-12,,Unknown,Wildlife / Horse
Norlane,2010-07-13,,Kelpie,Dog
Corio,2010-07-23,,Unknown,Child
Ocean Grove,2010-07-23,,Unknown,Dog
Highton,2010-07-28,,Unknown,Dog
North Shore,2010-08-02,,Mastiff X,Dog
Belmont,2010-08-04,,Unknown,Chickens
Manifold Heights,2010-08-01,,Unknown,Guinea Pigs
Whittington,2010-08-17,,Pitt Bull types,Dog
Point Lonsdale,,,Unknown,Guinea Pigs
Waurn Ponds,2010-08-23,,Maltese/Shih Tzu,Person
Newcomb,2010-08-25,,Great Danes,Dog
Belmont,2010-08-25,,Staffy,Dogs
Indented Heads,2010-08-28,,Pitt Bull X,Dog
Whittington,2010-08-16,,Pitt Bull types,Dog
Clifton Springs,,,Heeler/Cross,Dog
Anakie,2010-09-01,,Unknown,Sheep/Alpacas
Highton,2010-09-02,,2 Mastiff X,Cat
Little River,2010-09-03,,No dogs registered to the property,Dogs
Newcomb,2010-09-06,,2 German Shepherds,Person & Dog
Belmont,2010-09-10,,Great Dane/Cross,Dog 
Belmont,2010-09-07,,Great Dane/Cross,Person
Geelong,2010-09-10,,German Shepherd,Person  
Geelong,2010-09-20,,Unknown,Dog
Ocean Grove,2010-09-23,,Pitt Bull Type,Dog
Corio,2010-09-23,,Beagle,Dog
Moolap,2010-09-28,,Staffy & Pitt Bull type,Dog
Highton,2010-09-29,,No dogs registered to the property,Dog
Waurn Ponds,2010-09-18,,Golden Retriever/Cross,Person
Corio,2010-10-01,,Terrier,Person
Norlane,2010-10-02,,Kelpie,Pup
Sth Geelong,2010-10-03,,Maltese,Person
Ocean Grove,2010-10-05,,Unknown,Person
Corio,2010-10-03,,Rotti,Child
Bell Post Hill,2010-10-06,,Staffy,Dog
Whittington,2010-10-06,,Alsation,Cat
Geelong West,2010-10-07,,Staffies,Dog
North Geelong,2010-10-08,,Jack Russell,Person
Newtown,08/102010,,Labrador,Rabbit
Wandana Heights,2010-10-10,,Unknown,Chickens
Ocean Grove,2010-10-15,,2 Rotti's and 1 Bull Terrier,Chickens
Wandana Heights,2010-10-15,,2 Rott's ,Dog
Norlane,2010-10-24,,Unknown,Cat
Grovedale,2010-10-24,,Unknown,Cat
Leopold,2010-10-26,,Unknown,Horses
Corio,2010-10-26,,Unknown,Child
Belmont,2010-10-27,,Maltese type,Person
Leopold,2010-10-29,,Mareema,Child
Norlane,2010-10-30,,Blue Heeler,Dog and Owner
Lara,2010-11-05,,Alsation,Child
Hamlyn Heights,2010-11-05,,Foxy,Person
Geelong West,2010-11-06,,Unknown,Rabbits
Lara,2010-11-07,,Heeler,Person
Lara,2010-11-08,,Alsation,Dog and Child
Hamlyn Heights,2010-11-08,,Unknown,Person
Norlane,2010-11-12,,Unknown,Unknown
Herne Hill,2010-11-15,,Rotti X Ridgeback,Dog  
Manifold Heights,2010-11-16,,Labrador,Dog
Whittington,2010-11-11,,Staffies,Cat
Drysdale,2010-11-12,,French Poodles,Dog
Barwon Heads,2010-11-25,,Unknown,Chickens
Corio,2010-11-29,,Siberian Husky,Cat
Wallington,2010-11-30,,Siberian Husky,Chickens
Little River,2010-11-28,,German Shepherd& Staffy,Sheep
Grovedale,2010-11-30,,Border Collie,Child
Norlane,2010-12-07,,Staffy,Dog
Moolap,2010-12-08,,Unknown,Lambs
Norlane,2010-12-06,,Unknown,Dog
Corio,2010-12-14,,Bull Arab,Person
Fyansford,2010-12-17,,Unknown,Person
Unknown,2010-12-20,,Staffy X,Dog
Grovedale,2010-12-20,,English Staffy,Dog
Unknown,2010-12-21,,Terrier,Person
Unknown,2010-12-21,,Unknown,Unknown
Lara,2010-12-25,,Unknown,Alpaca
Moolap,2010-12-27,,Staffy,Sheep
Corio,2010-12-29,,Unknown,Person
Ceres,2010-12-31,,Bitsa,Person
Grovedale,2011-12-06,,JAC,Person
